brand,cnt,date,day_of_week,month,tiaoxiu,workday,year
1,31,1,2,1,0,0,2013
6,6,1,2,1,0,0,2013
9,15,1,2,1,0,0,2013
4,20,2,3,1,0,0,2013
6,6,2,3,1,0,0,2013
7,30,2,3,1,0,0,2013
10,48,2,3,1,0,0,2013
4,16,3,4,1,0,0,2013
6,4,3,4,1,0,0,2013
8,23,3,4,1,0,0,2013
1,898,4,5,1,0,1,2013
2,796,4,5,1,0,1,2013
3,418,4,5,1,0,1,2013
4,1411,4,5,1,0,1,2013
6,299,4,5,1,0,1,2013
7,257,4,5,1,0,1,2013
8,76,4,5,1,0,1,2013
9,1314,4,5,1,0,1,2013
10,1565,4,5,1,0,1,2013
1,842,5,6,1,1,1,2013
2,763,5,6,1,1,1,2013
3,229,5,6,1,1,1,2013
4,1176,5,6,1,1,1,2013
6,244,5,6,1,1,1,2013
7,354,5,6,1,1,1,2013
8,63,5,6,1,1,1,2013
9,829,5,6,1,1,1,2013
10,1107,5,6,1,1,1,2013
1,649,6,7,1,1,1,2013
2,259,6,7,1,1,1,2013
3,198,6,7,1,1,1,2013
4,812,6,7,1,1,1,2013
6,134,6,7,1,1,1,2013
7,167,6,7,1,1,1,2013
8,55,6,7,1,1,1,2013
9,412,6,7,1,1,1,2013
10,647,6,7,1,1,1,2013
1,574,7,1,1,0,1,2013
2,371,7,1,1,0,1,2013
3,340,7,1,1,0,1,2013
4,889,7,1,1,0,1,2013
6,157,7,1,1,0,1,2013
7,232,7,1,1,0,1,2013
8,127,7,1,1,0,1,2013
9,381,7,1,1,0,1,2013
10,638,7,1,1,0,1,2013
1,842,8,2,1,0,1,2013
2,597,8,2,1,0,1,2013
3,294,8,2,1,0,1,2013
4,893,8,2,1,0,1,2013
6,202,8,2,1,0,1,2013
7,386,8,2,1,0,1,2013
8,190,8,2,1,0,1,2013
9,399,8,2,1,0,1,2013
10,695,8,2,1,0,1,2013
1,640,9,3,1,0,1,2013
2,557,9,3,1,0,1,2013
3,488,9,3,1,0,1,2013
4,569,9,3,1,0,1,2013
6,161,9,3,1,0,1,2013
7,270,9,3,1,0,1,2013
8,59,9,3,1,0,1,2013
9,544,9,3,1,0,1,2013
10,673,9,3,1,0,1,2013
1,389,10,4,1,0,1,2013
2,389,10,4,1,0,1,2013
3,335,10,4,1,0,1,2013
4,623,10,4,1,0,1,2013
6,139,10,4,1,0,1,2013
7,165,10,4,1,0,1,2013
8,70,10,4,1,0,1,2013
9,439,10,4,1,0,1,2013
10,585,10,4,1,0,1,2013
1,274,11,5,1,0,1,2013
2,504,11,5,1,0,1,2013
3,235,11,5,1,0,1,2013
4,470,11,5,1,0,1,2013
6,143,11,5,1,0,1,2013
7,154,11,5,1,0,1,2013
8,76,11,5,1,0,1,2013
9,344,11,5,1,0,1,2013
10,741,11,5,1,0,1,2013
1,94,12,6,1,0,1,2013
4,87,12,6,1,0,1,2013
6,12,12,6,1,0,1,2013
7,64,12,6,1,0,1,2013
8,32,12,6,1,0,1,2013
9,31,12,6,1,0,1,2013
10,129,12,6,1,0,1,2013
1,27,13,7,1,0,1,2013
3,28,13,7,1,0,1,2013
9,13,13,7,1,0,1,2013
1,449,14,1,1,0,1,2013
2,212,14,1,1,0,1,2013
3,366,14,1,1,0,1,2013
4,575,14,1,1,0,1,2013
6,185,14,1,1,0,1,2013
7,257,14,1,1,0,1,2013
8,51,14,1,1,0,1,2013
9,430,14,1,1,0,1,2013
10,721,14,1,1,0,1,2013
1,811,15,2,1,0,1,2013
2,597,15,2,1,0,1,2013
3,294,15,2,1,0,1,2013
4,544,15,2,1,0,1,2013
6,154,15,2,1,0,1,2013
7,161,15,2,1,0,1,2013
8,32,15,2,1,0,1,2013
9,445,15,2,1,0,1,2013
10,669,15,2,1,0,1,2013
1,611,16,3,1,0,1,2013
2,371,16,3,1,0,1,2013
3,305,16,3,1,0,1,2013
4,305,16,3,1,0,1,2013
6,194,16,3,1,0,1,2013
7,240,16,3,1,0,1,2013
9,401,16,3,1,0,1,2013
10,456,16,3,1,0,1,2013
1,663,17,4,1,0,1,2013
2,1094,17,4,1,0,1,2013
3,575,17,4,1,0,1,2013
4,735,17,4,1,0,1,2013
6,588,17,4,1,0,1,2013
7,802,17,4,1,0,1,2013
8,116,17,4,1,0,1,2013
9,1002,17,4,1,0,1,2013
10,1680,17,4,1,0,1,2013
1,424,18,5,1,0,1,2013
2,371,18,5,1,0,1,2013
3,366,18,5,1,0,1,2013
4,627,18,5,1,0,1,2013
6,204,18,5,1,0,1,2013
7,206,18,5,1,0,1,2013
8,76,18,5,1,0,1,2013
9,405,18,5,1,0,1,2013
10,680,18,5,1,0,1,2013
1,94,19,6,1,0,1,2013
3,196,19,6,1,0,1,2013
4,65,19,6,1,0,1,2013
6,18,19,6,1,0,1,2013
7,32,19,6,1,0,1,2013
9,46,19,6,1,0,1,2013
10,26,19,6,1,0,1,2013
1,27,20,7,1,0,1,2013
6,5,20,7,1,0,1,2013
7,28,20,7,1,0,1,2013
9,40,20,7,1,0,1,2013
10,22,20,7,1,0,1,2013
1,299,21,1,1,0,1,2013
2,318,21,1,1,0,1,2013
3,235,21,1,1,0,1,2013
4,819,21,1,1,0,1,2013
6,185,21,1,1,0,1,2013
7,129,21,1,1,0,1,2013
8,76,21,1,1,0,1,2013
9,552,21,1,1,0,1,2013
10,1071,21,1,1,0,1,2013
1,686,22,2,1,0,1,2013
2,166,22,2,1,0,1,2013
3,98,22,2,1,0,1,2013
4,610,22,2,1,0,1,2013
6,166,22,2,1,0,1,2013
7,322,22,2,1,0,1,2013
8,63,22,2,1,0,1,2013
9,583,22,2,1,0,1,2013
10,618,22,2,1,0,1,2013
1,582,23,3,1,0,1,2013
2,124,23,3,1,0,1,2013
3,305,23,3,1,0,1,2013
4,447,23,3,1,0,1,2013
6,122,23,3,1,0,1,2013
7,120,23,3,1,0,1,2013
8,30,23,3,1,0,1,2013
9,387,23,3,1,0,1,2013
10,865,23,3,1,0,1,2013
1,320,24,4,1,0,1,2013
2,97,24,4,1,0,1,2013
3,192,24,4,1,0,1,2013
4,447,24,4,1,0,1,2013
6,135,24,4,1,0,1,2013
7,212,24,4,1,0,1,2013
8,46,24,4,1,0,1,2013
9,315,24,4,1,0,1,2013
10,491,24,4,1,0,1,2013
1,374,25,5,1,0,1,2013
2,345,25,5,1,0,1,2013
3,209,25,5,1,0,1,2013
4,192,25,5,1,0,1,2013
6,166,25,5,1,0,1,2013
7,180,25,5,1,0,1,2013
9,368,25,5,1,0,1,2013
10,329,25,5,1,0,1,2013
1,62,26,6,1,0,1,2013
4,22,26,6,1,0,1,2013
6,6,26,6,1,0,1,2013
7,32,26,6,1,0,1,2013
9,46,26,6,1,0,1,2013
10,51,26,6,1,0,1,2013
1,27,27,7,1,0,1,2013
1,424,28,1,1,0,1,2013
2,239,28,1,1,0,1,2013
3,470,28,1,1,0,1,2013
4,767,28,1,1,0,1,2013
6,147,28,1,1,0,1,2013
7,206,28,1,1,0,1,2013
8,25,28,1,1,0,1,2013
9,503,28,1,1,0,1,2013
10,968,28,1,1,0,1,2013
1,780,29,2,1,0,1,2013
2,365,29,2,1,0,1,2013
3,261,29,2,1,0,1,2013
4,697,29,2,1,0,1,2013
6,196,29,2,1,0,1,2013
7,257,29,2,1,0,1,2013
8,63,29,2,1,0,1,2013
9,552,29,2,1,0,1,2013
10,618,29,2,1,0,1,2013
1,524,30,3,1,0,1,2013
2,526,30,3,1,0,1,2013
3,366,30,3,1,0,1,2013
4,508,30,3,1,0,1,2013
6,188,30,3,1,0,1,2013
7,270,30,3,1,0,1,2013
8,89,30,3,1,0,1,2013
9,544,30,3,1,0,1,2013
10,601,30,3,1,0,1,2013
1,343,31,4,1,0,1,2013
2,340,31,4,1,0,1,2013
3,264,31,4,1,0,1,2013
4,224,31,4,1,0,1,2013
6,148,31,4,1,0,1,2013
7,212,31,4,1,0,1,2013
9,439,31,4,1,0,1,2013
10,604,31,4,1,0,1,2013
1,524,32,5,2,0,1,2013
2,345,32,5,2,0,1,2013
3,366,32,5,2,0,1,2013
4,523,32,5,2,0,1,2013
6,185,32,5,2,0,1,2013
7,232,32,5,2,0,1,2013
8,51,32,5,2,0,1,2013
9,466,32,5,2,0,1,2013
10,515,32,5,2,0,1,2013
1,62,33,6,2,0,1,2013
2,33,33,6,2,0,1,2013
4,44,33,6,2,0,1,2013
6,6,33,6,2,0,1,2013
7,32,33,6,2,0,1,2013
8,32,33,6,2,0,1,2013
9,92,33,6,2,0,1,2013
10,51,33,6,2,0,1,2013
6,5,34,7,2,0,1,2013
9,27,34,7,2,0,1,2013
1,898,35,1,2,0,1,2013
2,663,35,1,2,0,1,2013
3,392,35,1,2,0,1,2013
4,802,35,1,2,0,1,2013
6,209,35,1,2,0,1,2013
7,386,35,1,2,0,1,2013
8,25,35,1,2,0,1,2013
9,835,35,1,2,0,1,2013
10,1071,35,1,2,0,1,2013
1,499,36,2,2,0,1,2013
2,630,36,2,2,0,1,2013
3,196,36,2,2,0,1,2013
4,871,36,2,2,0,1,2013
6,214,36,2,2,0,1,2013
7,322,36,2,2,0,1,2013
8,127,36,2,2,0,1,2013
9,813,36,2,2,0,1,2013
10,978,36,2,2,0,1,2013
1,902,37,3,2,0,1,2013
2,588,37,3,2,0,1,2013
3,305,37,3,2,0,1,2013
4,976,37,3,2,0,1,2013
6,283,37,3,2,0,1,2013
7,270,37,3,2,0,1,2013
8,30,37,3,2,0,1,2013
9,759,37,3,2,0,1,2013
10,1129,37,3,2,0,1,2013
1,503,38,4,2,0,1,2013
2,365,38,4,2,0,1,2013
3,216,38,4,2,0,1,2013
4,479,38,4,2,0,1,2013
6,183,38,4,2,0,1,2013
7,118,38,4,2,0,1,2013
8,23,38,4,2,0,1,2013
9,720,38,4,2,0,1,2013
10,717,38,4,2,0,1,2013
1,100,39,5,2,0,1,2013
2,159,39,5,2,0,1,2013
3,26,39,5,2,0,1,2013
4,174,39,5,2,0,1,2013
6,57,39,5,2,0,1,2013
7,77,39,5,2,0,1,2013
9,135,39,5,2,0,1,2013
10,185,39,5,2,0,1,2013
9,11,40,4,2,0,0,2013
10,19,40,4,2,0,0,2013
7,26,41,5,2,0,0,2013
1,842,42,6,2,1,1,2013
2,332,42,6,2,1,1,2013
3,229,42,6,2,1,1,2013
4,762,42,6,2,1,1,2013
6,160,42,6,2,1,1,2013
7,32,42,6,2,1,1,2013
9,614,42,6,2,1,1,2013
10,746,42,6,2,1,1,2013
1,946,43,7,2,1,1,2013
2,316,43,7,2,1,1,2013
3,57,43,7,2,1,1,2013
4,812,43,7,2,1,1,2013
6,165,43,7,2,1,1,2013
9,598,43,7,2,1,1,2013
10,602,43,7,2,1,1,2013
1,599,44,1,2,0,1,2013
2,186,44,1,2,0,1,2013
3,105,44,1,2,0,1,2013
4,488,44,1,2,0,1,2013
6,147,44,1,2,0,1,2013
7,26,44,1,2,0,1,2013
8,25,44,1,2,0,1,2013
9,479,44,1,2,0,1,2013
10,432,44,1,2,0,1,2013
1,624,45,2,2,0,1,2013
2,199,45,2,2,0,1,2013
3,131,45,2,2,0,1,2013
4,348,45,2,2,0,1,2013
6,131,45,2,2,0,1,2013
7,193,45,2,2,0,1,2013
8,32,45,2,2,0,1,2013
9,644,45,2,2,0,1,2013
10,309,45,2,2,0,1,2013
1,553,46,3,2,0,1,2013
2,371,46,3,2,0,1,2013
3,122,46,3,2,0,1,2013
4,468,46,3,2,0,1,2013
6,144,46,3,2,0,1,2013
7,150,46,3,2,0,1,2013
8,30,46,3,2,0,1,2013
9,530,46,3,2,0,1,2013
10,408,46,3,2,0,1,2013
1,480,47,4,2,0,1,2013
2,170,47,4,2,0,1,2013
3,120,47,4,2,0,1,2013
4,351,47,4,2,0,1,2013
6,118,47,4,2,0,1,2013
7,118,47,4,2,0,1,2013
8,46,47,4,2,0,1,2013
9,360,47,4,2,0,1,2013
10,434,47,4,2,0,1,2013
1,374,48,5,2,0,1,2013
2,186,48,5,2,0,1,2013
3,131,48,5,2,0,1,2013
4,418,48,5,2,0,1,2013
6,105,48,5,2,0,1,2013
7,77,48,5,2,0,1,2013
9,466,48,5,2,0,1,2013
10,268,48,5,2,0,1,2013
6,6,49,6,2,0,1,2013
7,32,49,6,2,0,1,2013
9,15,49,6,2,0,1,2013
10,26,49,6,2,0,1,2013
9,13,50,7,2,0,1,2013
1,424,51,1,2,0,1,2013
2,292,51,1,2,0,1,2013
3,105,51,1,2,0,1,2013
4,592,51,1,2,0,1,2013
6,124,51,1,2,0,1,2013
7,129,51,1,2,0,1,2013
9,368,51,1,2,0,1,2013
10,227,51,1,2,0,1,2013
1,312,52,2,2,0,1,2013
2,199,52,2,2,0,1,2013
3,229,52,2,2,0,1,2013
4,436,52,2,2,0,1,2013
6,143,52,2,2,0,1,2013
7,97,52,2,2,0,1,2013
9,491,52,2,2,0,1,2013
10,232,52,2,2,0,1,2013
1,204,53,3,2,0,1,2013
2,186,53,3,2,0,1,2013
3,152,53,3,2,0,1,2013
4,590,53,3,2,0,1,2013
6,133,53,3,2,0,1,2013
7,120,53,3,2,0,1,2013
9,272,53,3,2,0,1,2013
10,312,53,3,2,0,1,2013
1,274,54,4,2,0,1,2013
2,24,54,4,2,0,1,2013
3,144,54,4,2,0,1,2013
4,208,54,4,2,0,1,2013
6,87,54,4,2,0,1,2013
7,165,54,4,2,0,1,2013
9,236,54,4,2,0,1,2013
10,321,54,4,2,0,1,2013
1,399,55,5,3,0,1,2013
2,80,55,5,3,0,1,2013
3,209,55,5,3,0,1,2013
4,314,55,5,3,0,1,2013
6,128,55,5,3,0,1,2013
7,51,55,5,3,0,1,2013
8,25,55,5,3,0,1,2013
9,381,55,5,3,0,1,2013
10,453,55,5,3,0,1,2013
1,31,56,6,3,0,1,2013
9,61,56,6,3,0,1,2013
1,474,57,1,3,0,1,2013
2,239,57,1,3,0,1,2013
3,209,57,1,3,0,1,2013
4,401,57,1,3,0,1,2013
6,114,57,1,3,0,1,2013
7,103,57,1,3,0,1,2013
9,466,57,1,3,0,1,2013
10,227,57,1,3,0,1,2013
1,281,58,2,3,0,1,2013
2,464,58,2,3,0,1,2013
3,229,58,2,3,0,1,2013
4,544,58,2,3,0,1,2013
6,160,58,2,3,0,1,2013
7,161,58,2,3,0,1,2013
9,384,58,2,3,0,1,2013
10,463,58,2,3,0,1,2013
1,437,59,3,3,0,1,2013
2,124,59,3,3,0,1,2013
3,91,59,3,3,0,1,2013
4,468,59,3,3,0,1,2013
6,139,59,3,3,0,1,2013
7,120,59,3,3,0,1,2013
9,573,59,3,3,0,1,2013
