date,day_of_week,brand,workday,tiaoxiu,month,year
1107,4,7,1,0,5,2016
1107,4,8,1,0,5,2016
1107,4,9,1,0,5,2016
1107,4,10,1,0,5,2016
1108,5,1,1,0,5,2016
1108,5,2,1,0,5,2016
1108,5,3,1,0,5,2016
1108,5,4,1,0,5,2016
1108,5,5,1,0,5,2016
1108,5,6,1,0,5,2016
1108,5,7,1,0,5,2016
1108,5,8,1,0,5,2016
1108,5,9,1,0,5,2016
1108,5,10,1,0,5,2016
1109,6,1,1,0,5,2016
1109,6,2,1,0,5,2016
1109,6,3,1,0,5,2016
1109,6,4,1,0,5,2016
1109,6,5,1,0,5,2016
1109,6,6,1,0,5,2016
1109,6,7,1,0,5,2016
1109,6,8,1,0,5,2016
1109,6,9,1,0,5,2016
1109,6,10,1,0,5,2016
1110,7,9,1,0,5,2016
1111,1,1,1,0,5,2016
1111,1,2,1,0,5,2016
1111,1,3,1,0,5,2016
1111,1,4,1,0,5,2016
1111,1,5,1,0,5,2016
1111,1,6,1,0,5,2016
1111,1,7,1,0,5,2016
1111,1,8,1,0,5,2016
1111,1,9,1,0,5,2016
1111,1,10,1,0,5,2016
1112,2,1,1,0,5,2016
1112,2,2,1,0,5,2016
1112,2,3,1,0,5,2016
1112,2,4,1,0,5,2016
1112,2,5,1,0,5,2016
1112,2,6,1,0,5,2016
1112,2,7,1,0,5,2016
1112,2,8,1,0,5,2016
1112,2,9,1,0,5,2016
1112,2,10,1,0,5,2016
1113,3,1,1,0,5,2016
1113,3,2,1,0,5,2016
1113,3,3,1,0,5,2016
1113,3,4,1,0,5,2016
1113,3,5,1,0,5,2016
1113,3,6,1,0,5,2016
1113,3,7,1,0,5,2016
1113,3,8,1,0,5,2016
1113,3,9,1,0,5,2016
1113,3,10,1,0,5,2016
1114,4,1,1,0,5,2016
1114,4,2,1,0,5,2016
1114,4,3,1,0,5,2016
1114,4,4,1,0,5,2016
1114,4,5,1,0,5,2016
1114,4,6,1,0,5,2016
1114,4,7,1,0,5,2016
1114,4,8,1,0,5,2016
1114,4,9,1,0,5,2016
1114,4,10,1,0,5,2016
1115,5,1,1,0,5,2016
