date,day_of_week,brand,workday,tiaoxiu,month,year
1250,3,1,1,0,10,2016
1250,3,2,1,0,10,2016
1250,3,3,1,0,10,2016
1250,3,4,1,0,10,2016
1250,3,5,1,0,10,2016
1250,3,6,1,0,10,2016
1250,3,7,1,0,10,2016
1250,3,8,1,0,10,2016
1250,3,9,1,0,10,2016
1250,3,10,1,0,10,2016
1251,4,1,1,0,10,2016
1251,4,2,1,0,10,2016
1251,4,3,1,0,10,2016
1251,4,4,1,0,10,2016
1251,4,5,1,0,10,2016
1251,4,6,1,0,10,2016
1251,4,7,1,0,10,2016
1251,4,8,1,0,10,2016
1251,4,9,1,0,10,2016
1251,4,10,1,0,10,2016
1252,5,1,1,0,10,2016
1252,5,2,1,0,10,2016
1252,5,3,1,0,10,2016
1252,5,4,1,0,10,2016
1252,5,5,1,0,10,2016
1252,5,6,1,0,10,2016
1252,5,7,1,0,10,2016
1252,5,8,1,0,10,2016
1252,5,9,1,0,10,2016
1252,5,10,1,0,10,2016
1253,6,1,1,0,10,2016
1253,6,2,1,0,10,2016
1253,6,3,1,0,10,2016
1253,6,4,1,0,10,2016
1253,6,5,1,0,10,2016
1253,6,6,1,0,10,2016
1253,6,7,1,0,10,2016
1253,6,8,1,0,10,2016
1253,6,9,1,0,10,2016
1253,6,10,1,0,10,2016
1254,7,4,1,0,10,2016
1255,1,1,1,0,10,2016
1255,1,2,1,0,10,2016
1255,1,3,1,0,10,2016
1255,1,4,1,0,10,2016
1255,1,5,1,0,10,2016
1255,1,6,1,0,10,2016
1255,1,7,1,0,10,2016
1255,1,8,1,0,10,2016
1255,1,9,1,0,10,2016
1255,1,10,1,0,10,2016
1256,2,1,1,0,10,2016
1256,2,2,1,0,10,2016
1256,2,3,1,0,10,2016
1256,2,4,1,0,10,2016
1256,2,5,1,0,10,2016
1256,2,6,1,0,10,2016
1256,2,7,1,0,10,2016
1256,2,8,1,0,10,2016
1256,2,9,1,0,10,2016
1256,2,10,1,0,10,2016
1257,3,1,1,0,10,2016
1257,3,2,1,0,10,2016
1257,3,3,1,0,10,2016
1257,3,4,1,0,10,2016
1257,3,5,1,0,10,2016
1257,3,6,1,0,10,2016
1257,3,7,1,0,10,2016
1257,3,8,1,0,10,2016
1257,3,9,1,0,10,2016
1257,3,10,1,0,10,2016
1258,4,1,1,0,10,2016
1258,4,2,1,0,10,2016
1258,4,3,1,0,10,2016
1258,4,4,1,0,10,2016
1258,4,5,1,0,10,2016
1258,4,6,1,0,10,2016
1258,4,7,1,0,10,2016
1258,4,8,1,0,10,2016
1258,4,9,1,0,10,2016
1258,4,10,1,0,10,2016
1259,5,1,1,0,10,2016
1259,5,2,1,0,10,2016
1259,5,3,1,0,10,2016
1259,5,4,1,0,10,2016
1259,5,5,1,0,10,2016
1259,5,6,1,0,10,2016
1259,5,7,1,0,10,2016
1259,5,8,1,0,10,2016
1259,5,9,1,0,10,2016
1259,5,10,1,0,10,2016
1260,6,1,1,0,10,2016
1260,6,2,1,0,10,2016
1260,6,3,1,0,10,2016
1260,6,4,1,0,10,2016
1260,6,5,1,0,10,2016
1260,6,6,1,0,10,2016
1260,6,7,1,0,10,2016
1260,6,8,1,0,10,2016
1260,6,9,1,0,10,2016
1260,6,10,1,0,10,2016
1261,1,1,1,0,10,2016
1261,1,2,1,0,10,2016
1261,1,3,1,0,10,2016
1261,1,4,1,0,10,2016
1261,1,5,1,0,10,2016
1261,1,6,1,0,10,2016
1261,1,7,1,0,10,2016
1261,1,8,1,0,10,2016
1261,1,9,1,0,10,2016
1261,1,10,1,0,10,2016
1262,2,1,1,0,10,2016
1262,2,2,1,0,10,2016
1262,2,3,1,0,10,2016
1262,2,4,1,0,10,2016
1262,2,5,1,0,10,2016
1262,2,6,1,0,10,2016
1262,2,7,1,0,10,2016
1262,2,8,1,0,10,2016
1262,2,9,1,0,10,2016
1262,2,10,1,0,10,2016
1263,3,1,1,0,10,2016
1263,3,2,1,0,10,2016
1263,3,3,1,0,10,2016
1263,3,4,1,0,10,2016
1263,3,5,1,0,10,2016
1263,3,6,1,0,10,2016
1263,3,7,1,0,10,2016
1263,3,8,1,0,10,2016
1263,3,9,1,0,10,2016
1263,3,10,1,0,10,2016
1264,4,1,1,0,10,2016
1264,4,2,1,0,10,2016
1264,4,3,1,0,10,2016
1264,4,4,1,0,10,2016
1264,4,5,1,0,10,2016
1264,4,6,1,0,10,2016
1264,4,7,1,0,10,2016
1264,4,8,1,0,10,2016
1264,4,9,1,0,10,2016
1264,4,10,1,0,10,2016
1265,5,1,1,0,10,2016
1265,5,2,1,0,10,2016
1265,5,3,1,0,10,2016
1265,5,4,1,0,10,2016
1265,5,5,1,0,10,2016
1265,5,6,1,0,10,2016
1265,5,7,1,0,10,2016
1265,5,8,1,0,10,2016
1265,5,9,1,0,10,2016
1265,5,10,1,0,10,2016
1266,6,1,1,0,10,2016
1266,6,2,1,0,10,2016
1266,6,3,1,0,10,2016
1266,6,4,1,0,10,2016
1266,6,5,1,0,10,2016
1266,6,6,1,0,10,2016
1266,6,7,1,0,10,2016
1266,6,8,1,0,10,2016
1266,6,9,1,0,10,2016
1266,6,10,1,0,10,2016
1267,7,6,1,0,10,2016
1267,7,9,1,0,10,2016
1268,1,1,1,0,10,2016
1268,1,2,1,0,10,2016
1268,1,3,1,0,10,2016
1268,1,4,1,0,10,2016
1268,1,5,1,0,10,2016
1268,1,6,1,0,10,2016
1268,1,7,1,0,10,2016
1268,1,8,1,0,10,2016
1268,1,9,1,0,10,2016
1268,1,10,1,0,10,2016
1269,2,1,1,0,11,2016
1269,2,2,1,0,11,2016
1269,2,3,1,0,11,2016
1269,2,4,1,0,11,2016
1269,2,5,1,0,11,2016
1269,2,6,1,0,11,2016
1269,2,7,1,0,11,2016
1269,2,8,1,0,11,2016
1269,2,9,1,0,11,2016
1269,2,10,1,0,11,2016
1270,3,1,1,0,11,2016
1270,3,2,1,0,11,2016
1270,3,3,1,0,11,2016
1270,3,4,1,0,11,2016
1270,3,5,1,0,11,2016
1270,3,6,1,0,11,2016
1270,3,7,1,0,11,2016
1270,3,8,1,0,11,2016
1270,3,9,1,0,11,2016
1270,3,10,1,0,11,2016
1271,4,1,1,0,11,2016
1271,4,2,1,0,11,2016
1271,4,3,1,0,11,2016
1271,4,4,1,0,11,2016
1271,4,5,1,0,11,2016
1271,4,6,1,0,11,2016
1271,4,7,1,0,11,2016
1271,4,8,1,0,11,2016
1271,4,9,1,0,11,2016
1271,4,10,1,0,11,2016
1272,5,1,1,0,11,2016
1272,5,2,1,0,11,2016
1272,5,3,1,0,11,2016
1272,5,4,1,0,11,2016
1272,5,5,1,0,11,2016
1272,5,6,1,0,11,2016
1272,5,7,1,0,11,2016
1272,5,8,1,0,11,2016
1272,5,9,1,0,11,2016
1272,5,10,1,0,11,2016
1273,6,1,1,0,11,2016
1273,6,2,1,0,11,2016
1273,6,3,1,0,11,2016
1273,6,4,1,0,11,2016
1273,6,5,1,0,11,2016
1273,6,6,1,0,11,2016
1273,6,7,1,0,11,2016
1273,6,8,1,0,11,2016
1273,6,9,1,0,11,2016
1273,6,10,1,0,11,2016
1274,1,1,1,0,11,2016
1274,1,2,1,0,11,2016
1274,1,3,1,0,11,2016
1274,1,4,1,0,11,2016
1274,1,5,1,0,11,2016
1274,1,6,1,0,11,2016
1274,1,7,1,0,11,2016
1274,1,8,1,0,11,2016
1274,1,9,1,0,11,2016
1274,1,10,1,0,11,2016
1275,2,1,1,0,11,2016
1275,2,2,1,0,11,2016
1275,2,3,1,0,11,2016
1275,2,4,1,0,11,2016
1275,2,5,1,0,11,2016
1275,2,6,1,0,11,2016
1275,2,7,1,0,11,2016
1275,2,8,1,0,11,2016
1275,2,9,1,0,11,2016
1275,2,10,1,0,11,2016
1276,3,1,1,0,11,2016
1276,3,2,1,0,11,2016
1276,3,3,1,0,11,2016
1276,3,4,1,0,11,2016
1276,3,5,1,0,11,2016
1276,3,6,1,0,11,2016
1276,3,7,1,0,11,2016
1276,3,8,1,0,11,2016
1276,3,9,1,0,11,2016
1276,3,10,1,0,11,2016
1277,4,1,1,0,11,2016
1277,4,2,1,0,11,2016
1277,4,3,1,0,11,2016
1277,4,4,1,0,11,2016
1277,4,5,1,0,11,2016
1277,4,6,1,0,11,2016
1277,4,7,1,0,11,2016
1277,4,8,1,0,11,2016
1277,4,9,1,0,11,2016
1277,4,10,1,0,11,2016
1278,5,1,1,0,11,2016
1278,5,2,1,0,11,2016
1278,5,3,1,0,11,2016
1278,5,4,1,0,11,2016
1278,5,5,1,0,11,2016
1278,5,6,1,0,11,2016
1278,5,7,1,0,11,2016
1278,5,8,1,0,11,2016
1278,5,9,1,0,11,2016
1278,5,10,1,0,11,2016
1279,6,2,1,0,11,2016
1279,6,3,1,0,11,2016
1279,6,4,1,0,11,2016
1279,6,5,1,0,11,2016
1279,6,6,1,0,11,2016
1279,6,7,1,0,11,2016
1279,6,8,1,0,11,2016
1279,6,9,1,0,11,2016
1280,7,1,1,0,11,2016
1281,1,1,1,0,11,2016
1281,1,2,1,0,11,2016
1281,1,3,1,0,11,2016
1281,1,4,1,0,11,2016
1281,1,5,1,0,11,2016
1281,1,6,1,0,11,2016
1281,1,7,1,0,11,2016
1281,1,8,1,0,11,2016
1281,1,9,1,0,11,2016
1281,1,10,1,0,11,2016
1282,2,1,1,0,11,2016
1282,2,2,1,0,11,2016
1282,2,3,1,0,11,2016
1282,2,4,1,0,11,2016
1282,2,5,1,0,11,2016
1282,2,6,1,0,11,2016
1282,2,7,1,0,11,2016
1282,2,8,1,0,11,2016
1282,2,9,1,0,11,2016
1282,2,10,1,0,11,2016
1283,3,1,1,0,11,2016
1283,3,2,1,0,11,2016
1283,3,3,1,0,11,2016
1283,3,4,1,0,11,2016
1283,3,5,1,0,11,2016
1283,3,6,1,0,11,2016
1283,3,7,1,0,11,2016
1283,3,8,1,0,11,2016
1283,3,9,1,0,11,2016
1283,3,10,1,0,11,2016
1284,4,1,1,0,11,2016
1284,4,2,1,0,11,2016
1284,4,3,1,0,11,2016
1284,4,4,1,0,11,2016
1284,4,5,1,0,11,2016
1284,4,6,1,0,11,2016
1284,4,7,1,0,11,2016
1284,4,8,1,0,11,2016
1284,4,9,1,0,11,2016
1284,4,10,1,0,11,2016
1285,5,1,1,0,11,2016
1285,5,2,1,0,11,2016
1285,5,3,1,0,11,2016
1285,5,4,1,0,11,2016
1285,5,5,1,0,11,2016
1285,5,6,1,0,11,2016
1285,5,7,1,0,11,2016
1285,5,8,1,0,11,2016
1285,5,9,1,0,11,2016
1285,5,10,1,0,11,2016
1286,6,1,1,0,11,2016
1286,6,2,1,0,11,2016
1286,6,4,1,0,11,2016
1286,6,5,1,0,11,2016
1286,6,6,1,0,11,2016
1286,6,7,1,0,11,2016
1286,6,8,1,0,11,2016
1286,6,9,1,0,11,2016
1286,6,10,1,0,11,2016
1287,7,9,1,0,11,2016
1288,1,1,1,0,11,2016
1288,1,2,1,0,11,2016
1288,1,3,1,0,11,2016
1288,1,4,1,0,11,2016
1288,1,5,1,0,11,2016
1288,1,6,1,0,11,2016
1288,1,7,1,0,11,2016
1288,1,8,1,0,11,2016
1288,1,9,1,0,11,2016
1288,1,10,1,0,11,2016
1289,2,1,1,0,11,2016
1289,2,2,1,0,11,2016
1289,2,3,1,0,11,2016
1289,2,4,1,0,11,2016
1289,2,5,1,0,11,2016
1289,2,6,1,0,11,2016
1289,2,7,1,0,11,2016
1289,2,8,1,0,11,2016
1289,2,9,1,0,11,2016
1289,2,10,1,0,11,2016
1290,3,1,1,0,11,2016
1290,3,2,1,0,11,2016
1290,3,3,1,0,11,2016
1290,3,4,1,0,11,2016
1290,3,5,1,0,11,2016
1290,3,6,1,0,11,2016
1290,3,7,1,0,11,2016
1290,3,8,1,0,11,2016
1290,3,9,1,0,11,2016
1290,3,10,1,0,11,2016
1291,4,1,1,0,11,2016
1291,4,2,1,0,11,2016
1291,4,3,1,0,11,2016
1291,4,4,1,0,11,2016
1291,4,5,1,0,11,2016
1291,4,6,1,0,11,2016
1291,4,7,1,0,11,2016
1291,4,8,1,0,11,2016
1291,4,9,1,0,11,2016
1291,4,10,1,0,11,2016
1292,5,1,1,0,11,2016
1292,5,2,1,0,11,2016
1292,5,3,1,0,11,2016
1292,5,4,1,0,11,2016
1292,5,5,1,0,11,2016
1292,5,6,1,0,11,2016
1292,5,7,1,0,11,2016
1292,5,8,1,0,11,2016
1292,5,9,1,0,11,2016
1292,5,10,1,0,11,2016
1293,6,3,1,0,11,2016
1293,6,4,1,0,11,2016
1293,6,5,1,0,11,2016
1293,6,6,1,0,11,2016
1293,6,7,1,0,11,2016
1293,6,8,1,0,11,2016
1293,6,9,1,0,11,2016
1293,6,10,1,0,11,2016
1294,1,1,1,0,11,2016
1294,1,2,1,0,11,2016
1294,1,3,1,0,11,2016
1294,1,4,1,0,11,2016
1294,1,5,1,0,11,2016
1294,1,6,1,0,11,2016
1294,1,7,1,0,11,2016
1294,1,8,1,0,11,2016
1294,1,9,1,0,11,2016
1294,1,10,1,0,11,2016
1295,2,1,1,0,11,2016
1295,2,2,1,0,11,2016
1295,2,3,1,0,11,2016
1295,2,4,1,0,11,2016
1295,2,5,1,0,11,2016
1295,2,6,1,0,11,2016
1295,2,7,1,0,11,2016
1295,2,8,1,0,11,2016
1295,2,9,1,0,11,2016
1295,2,10,1,0,11,2016
1296,3,1,1,0,11,2016
1296,3,2,1,0,11,2016
1296,3,3,1,0,11,2016
1296,3,4,1,0,11,2016
1296,3,5,1,0,11,2016
1296,3,6,1,0,11,2016
1296,3,7,1,0,11,2016
1296,3,8,1,0,11,2016
1296,3,9,1,0,11,2016
1296,3,10,1,0,11,2016
1297,4,1,1,0,12,2016
1297,4,2,1,0,12,2016
1297,4,3,1,0,12,2016
1297,4,4,1,0,12,2016
1297,4,5,1,0,12,2016
1297,4,6,1,0,12,2016
1297,4,7,1,0,12,2016
1297,4,8,1,0,12,2016
1297,4,9,1,0,12,2016
1297,4,10,1,0,12,2016
1298,5,1,1,0,12,2016
1298,5,2,1,0,12,2016
1298,5,3,1,0,12,2016
1298,5,4,1,0,12,2016
1298,5,5,1,0,12,2016
1298,5,6,1,0,12,2016
1298,5,7,1,0,12,2016
1298,5,8,1,0,12,2016
1298,5,9,1,0,12,2016
1298,5,10,1,0,12,2016
1299,6,1,1,0,12,2016
1299,6,2,1,0,12,2016
1299,6,3,1,0,12,2016
1299,6,4,1,0,12,2016
1299,6,5,1,0,12,2016
1299,6,6,1,0,12,2016
1299,6,7,1,0,12,2016
1299,6,8,1,0,12,2016
1299,6,9,1,0,12,2016
1299,6,10,1,0,12,2016
1300,1,1,1,0,12,2016
1300,1,2,1,0,12,2016
1300,1,3,1,0,12,2016
1300,1,4,1,0,12,2016
1300,1,5,1,0,12,2016
1300,1,6,1,0,12,2016
1300,1,7,1,0,12,2016
1300,1,8,1,0,12,2016
1300,1,9,1,0,12,2016
1300,1,10,1,0,12,2016
1301,2,1,1,0,12,2016
1301,2,2,1,0,12,2016
1301,2,3,1,0,12,2016
1301,2,4,1,0,12,2016
1301,2,5,1,0,12,2016
1301,2,6,1,0,12,2016
1301,2,7,1,0,12,2016
1301,2,8,1,0,12,2016
1301,2,9,1,0,12,2016
1301,2,10,1,0,12,2016
1302,3,1,1,0,12,2016
1302,3,2,1,0,12,2016
1302,3,3,1,0,12,2016
1302,3,4,1,0,12,2016
1302,3,5,1,0,12,2016
1302,3,6,1,0,12,2016
1302,3,7,1,0,12,2016
1302,3,8,1,0,12,2016
1302,3,9,1,0,12,2016
1302,3,10,1,0,12,2016
1303,4,1,1,0,12,2016
1303,4,2,1,0,12,2016
1303,4,3,1,0,12,2016
1303,4,4,1,0,12,2016
1303,4,5,1,0,12,2016
1303,4,6,1,0,12,2016
1303,4,7,1,0,12,2016
1303,4,8,1,0,12,2016
1303,4,9,1,0,12,2016
1303,4,10,1,0,12,2016
1304,5,1,1,0,12,2016
1304,5,2,1,0,12,2016
1304,5,3,1,0,12,2016
1304,5,4,1,0,12,2016
1304,5,5,1,0,12,2016
1304,5,6,1,0,12,2016
1304,5,7,1,0,12,2016
1304,5,8,1,0,12,2016
1304,5,9,1,0,12,2016
1304,5,10,1,0,12,2016
1305,6,1,1,0,12,2016
1305,6,2,1,0,12,2016
1305,6,3,1,0,12,2016
1305,6,4,1,0,12,2016
1305,6,5,1,0,12,2016
1305,6,6,1,0,12,2016
1305,6,7,1,0,12,2016
1305,6,8,1,0,12,2016
1305,6,9,1,0,12,2016
1305,6,10,1,0,12,2016
1306,7,6,1,0,12,2016
1307,1,1,1,0,12,2016
1307,1,2,1,0,12,2016
1307,1,3,1,0,12,2016
1307,1,4,1,0,12,2016
1307,1,5,1,0,12,2016
1307,1,6,1,0,12,2016
1307,1,7,1,0,12,2016
1307,1,8,1,0,12,2016
1307,1,9,1,0,12,2016
1307,1,10,1,0,12,2016
1308,2,1,1,0,12,2016
1308,2,2,1,0,12,2016
1308,2,3,1,0,12,2016
