brand,date,day_of_week,month,tiaoxiu,workday,year
1,1250,3,10,0,1,2016
2,1250,3,10,0,1,2016
3,1250,3,10,0,1,2016
4,1250,3,10,0,1,2016
5,1250,3,10,0,1,2016
6,1250,3,10,0,1,2016
7,1250,3,10,0,1,2016
8,1250,3,10,0,1,2016
9,1250,3,10,0,1,2016
10,1250,3,10,0,1,2016
1,1251,4,10,0,1,2016
2,1251,4,10,0,1,2016
3,1251,4,10,0,1,2016
4,1251,4,10,0,1,2016
5,1251,4,10,0,1,2016
6,1251,4,10,0,1,2016
7,1251,4,10,0,1,2016
8,1251,4,10,0,1,2016
9,1251,4,10,0,1,2016
10,1251,4,10,0,1,2016
1,1252,5,10,0,1,2016
2,1252,5,10,0,1,2016
3,1252,5,10,0,1,2016
4,1252,5,10,0,1,2016
5,1252,5,10,0,1,2016
6,1252,5,10,0,1,2016
7,1252,5,10,0,1,2016
8,1252,5,10,0,1,2016
9,1252,5,10,0,1,2016
10,1252,5,10,0,1,2016
1,1253,6,10,0,1,2016
2,1253,6,10,0,1,2016
3,1253,6,10,0,1,2016
4,1253,6,10,0,1,2016
5,1253,6,10,0,1,2016
6,1253,6,10,0,1,2016
7,1253,6,10,0,1,2016
8,1253,6,10,0,1,2016
9,1253,6,10,0,1,2016
10,1253,6,10,0,1,2016
4,1254,7,10,0,1,2016
1,1255,1,10,0,1,2016
2,1255,1,10,0,1,2016
3,1255,1,10,0,1,2016
4,1255,1,10,0,1,2016
5,1255,1,10,0,1,2016
6,1255,1,10,0,1,2016
7,1255,1,10,0,1,2016
8,1255,1,10,0,1,2016
9,1255,1,10,0,1,2016
10,1255,1,10,0,1,2016
1,1256,2,10,0,1,2016
2,1256,2,10,0,1,2016
3,1256,2,10,0,1,2016
4,1256,2,10,0,1,2016
5,1256,2,10,0,1,2016
6,1256,2,10,0,1,2016
7,1256,2,10,0,1,2016
8,1256,2,10,0,1,2016
9,1256,2,10,0,1,2016
10,1256,2,10,0,1,2016
1,1257,3,10,0,1,2016
2,1257,3,10,0,1,2016
3,1257,3,10,0,1,2016
4,1257,3,10,0,1,2016
5,1257,3,10,0,1,2016
6,1257,3,10,0,1,2016
7,1257,3,10,0,1,2016
8,1257,3,10,0,1,2016
9,1257,3,10,0,1,2016
10,1257,3,10,0,1,2016
1,1258,4,10,0,1,2016
2,1258,4,10,0,1,2016
3,1258,4,10,0,1,2016
4,1258,4,10,0,1,2016
5,1258,4,10,0,1,2016
6,1258,4,10,0,1,2016
7,1258,4,10,0,1,2016
8,1258,4,10,0,1,2016
9,1258,4,10,0,1,2016
10,1258,4,10,0,1,2016
1,1259,5,10,0,1,2016
2,1259,5,10,0,1,2016
3,1259,5,10,0,1,2016
4,1259,5,10,0,1,2016
5,1259,5,10,0,1,2016
6,1259,5,10,0,1,2016
7,1259,5,10,0,1,2016
8,1259,5,10,0,1,2016
9,1259,5,10,0,1,2016
10,1259,5,10,0,1,2016
1,1260,6,10,0,1,2016
2,1260,6,10,0,1,2016
3,1260,6,10,0,1,2016
4,1260,6,10,0,1,2016
5,1260,6,10,0,1,2016
6,1260,6,10,0,1,2016
7,1260,6,10,0,1,2016
8,1260,6,10,0,1,2016
9,1260,6,10,0,1,2016
10,1260,6,10,0,1,2016
1,1261,1,10,0,1,2016
2,1261,1,10,0,1,2016
3,1261,1,10,0,1,2016
4,1261,1,10,0,1,2016
5,1261,1,10,0,1,2016
6,1261,1,10,0,1,2016
7,1261,1,10,0,1,2016
8,1261,1,10,0,1,2016
9,1261,1,10,0,1,2016
10,1261,1,10,0,1,2016
1,1262,2,10,0,1,2016
2,1262,2,10,0,1,2016
3,1262,2,10,0,1,2016
4,1262,2,10,0,1,2016
5,1262,2,10,0,1,2016
6,1262,2,10,0,1,2016
7,1262,2,10,0,1,2016
8,1262,2,10,0,1,2016
9,1262,2,10,0,1,2016
10,1262,2,10,0,1,2016
1,1263,3,10,0,1,2016
2,1263,3,10,0,1,2016
3,1263,3,10,0,1,2016
4,1263,3,10,0,1,2016
5,1263,3,10,0,1,2016
6,1263,3,10,0,1,2016
7,1263,3,10,0,1,2016
8,1263,3,10,0,1,2016
9,1263,3,10,0,1,2016
10,1263,3,10,0,1,2016
1,1264,4,10,0,1,2016
2,1264,4,10,0,1,2016
3,1264,4,10,0,1,2016
4,1264,4,10,0,1,2016
5,1264,4,10,0,1,2016
6,1264,4,10,0,1,2016
7,1264,4,10,0,1,2016
8,1264,4,10,0,1,2016
9,1264,4,10,0,1,2016
10,1264,4,10,0,1,2016
1,1265,5,10,0,1,2016
2,1265,5,10,0,1,2016
3,1265,5,10,0,1,2016
4,1265,5,10,0,1,2016
5,1265,5,10,0,1,2016
6,1265,5,10,0,1,2016
7,1265,5,10,0,1,2016
8,1265,5,10,0,1,2016
9,1265,5,10,0,1,2016
10,1265,5,10,0,1,2016
1,1266,6,10,0,1,2016
2,1266,6,10,0,1,2016
3,1266,6,10,0,1,2016
4,1266,6,10,0,1,2016
5,1266,6,10,0,1,2016
6,1266,6,10,0,1,2016
7,1266,6,10,0,1,2016
8,1266,6,10,0,1,2016
9,1266,6,10,0,1,2016
10,1266,6,10,0,1,2016
6,1267,7,10,0,1,2016
9,1267,7,10,0,1,2016
1,1268,1,10,0,1,2016
2,1268,1,10,0,1,2016
3,1268,1,10,0,1,2016
4,1268,1,10,0,1,2016
5,1268,1,10,0,1,2016
6,1268,1,10,0,1,2016
7,1268,1,10,0,1,2016
8,1268,1,10,0,1,2016
9,1268,1,10,0,1,2016
10,1268,1,10,0,1,2016
1,1269,2,11,0,1,2016
2,1269,2,11,0,1,2016
3,1269,2,11,0,1,2016
4,1269,2,11,0,1,2016
5,1269,2,11,0,1,2016
6,1269,2,11,0,1,2016
7,1269,2,11,0,1,2016
8,1269,2,11,0,1,2016
9,1269,2,11,0,1,2016
10,1269,2,11,0,1,2016
1,1270,3,11,0,1,2016
2,1270,3,11,0,1,2016
3,1270,3,11,0,1,2016
4,1270,3,11,0,1,2016
5,1270,3,11,0,1,2016
6,1270,3,11,0,1,2016
7,1270,3,11,0,1,2016
8,1270,3,11,0,1,2016
9,1270,3,11,0,1,2016
10,1270,3,11,0,1,2016
1,1271,4,11,0,1,2016
2,1271,4,11,0,1,2016
3,1271,4,11,0,1,2016
4,1271,4,11,0,1,2016
5,1271,4,11,0,1,2016
6,1271,4,11,0,1,2016
7,1271,4,11,0,1,2016
8,1271,4,11,0,1,2016
9,1271,4,11,0,1,2016
10,1271,4,11,0,1,2016
1,1272,5,11,0,1,2016
2,1272,5,11,0,1,2016
3,1272,5,11,0,1,2016
4,1272,5,11,0,1,2016
5,1272,5,11,0,1,2016
6,1272,5,11,0,1,2016
7,1272,5,11,0,1,2016
8,1272,5,11,0,1,2016
9,1272,5,11,0,1,2016
10,1272,5,11,0,1,2016
1,1273,6,11,0,1,2016
2,1273,6,11,0,1,2016
3,1273,6,11,0,1,2016
4,1273,6,11,0,1,2016
5,1273,6,11,0,1,2016
6,1273,6,11,0,1,2016
7,1273,6,11,0,1,2016
8,1273,6,11,0,1,2016
9,1273,6,11,0,1,2016
10,1273,6,11,0,1,2016
1,1274,1,11,0,1,2016
2,1274,1,11,0,1,2016
3,1274,1,11,0,1,2016
4,1274,1,11,0,1,2016
5,1274,1,11,0,1,2016
6,1274,1,11,0,1,2016
7,1274,1,11,0,1,2016
8,1274,1,11,0,1,2016
9,1274,1,11,0,1,2016
10,1274,1,11,0,1,2016
1,1275,2,11,0,1,2016
2,1275,2,11,0,1,2016
3,1275,2,11,0,1,2016
4,1275,2,11,0,1,2016
5,1275,2,11,0,1,2016
6,1275,2,11,0,1,2016
7,1275,2,11,0,1,2016
8,1275,2,11,0,1,2016
9,1275,2,11,0,1,2016
10,1275,2,11,0,1,2016
1,1276,3,11,0,1,2016
2,1276,3,11,0,1,2016
3,1276,3,11,0,1,2016
4,1276,3,11,0,1,2016
5,1276,3,11,0,1,2016
6,1276,3,11,0,1,2016
7,1276,3,11,0,1,2016
8,1276,3,11,0,1,2016
9,1276,3,11,0,1,2016
10,1276,3,11,0,1,2016
1,1277,4,11,0,1,2016
2,1277,4,11,0,1,2016
3,1277,4,11,0,1,2016
4,1277,4,11,0,1,2016
5,1277,4,11,0,1,2016
6,1277,4,11,0,1,2016
7,1277,4,11,0,1,2016
8,1277,4,11,0,1,2016
9,1277,4,11,0,1,2016
10,1277,4,11,0,1,2016
1,1278,5,11,0,1,2016
2,1278,5,11,0,1,2016
3,1278,5,11,0,1,2016
4,1278,5,11,0,1,2016
5,1278,5,11,0,1,2016
6,1278,5,11,0,1,2016
7,1278,5,11,0,1,2016
8,1278,5,11,0,1,2016
9,1278,5,11,0,1,2016
10,1278,5,11,0,1,2016
2,1279,6,11,0,1,2016
3,1279,6,11,0,1,2016
4,1279,6,11,0,1,2016
5,1279,6,11,0,1,2016
6,1279,6,11,0,1,2016
7,1279,6,11,0,1,2016
8,1279,6,11,0,1,2016
9,1279,6,11,0,1,2016
1,1280,7,11,0,1,2016
1,1281,1,11,0,1,2016
2,1281,1,11,0,1,2016
3,1281,1,11,0,1,2016
4,1281,1,11,0,1,2016
5,1281,1,11,0,1,2016
6,1281,1,11,0,1,2016
7,1281,1,11,0,1,2016
8,1281,1,11,0,1,2016
9,1281,1,11,0,1,2016
10,1281,1,11,0,1,2016
1,1282,2,11,0,1,2016
2,1282,2,11,0,1,2016
3,1282,2,11,0,1,2016
4,1282,2,11,0,1,2016
5,1282,2,11,0,1,2016
6,1282,2,11,0,1,2016
7,1282,2,11,0,1,2016
8,1282,2,11,0,1,2016
9,1282,2,11,0,1,2016
10,1282,2,11,0,1,2016
1,1283,3,11,0,1,2016
2,1283,3,11,0,1,2016
3,1283,3,11,0,1,2016
4,1283,3,11,0,1,2016
5,1283,3,11,0,1,2016
6,1283,3,11,0,1,2016
7,1283,3,11,0,1,2016
8,1283,3,11,0,1,2016
9,1283,3,11,0,1,2016
10,1283,3,11,0,1,2016
1,1284,4,11,0,1,2016
2,1284,4,11,0,1,2016
3,1284,4,11,0,1,2016
4,1284,4,11,0,1,2016
5,1284,4,11,0,1,2016
6,1284,4,11,0,1,2016
7,1284,4,11,0,1,2016
8,1284,4,11,0,1,2016
9,1284,4,11,0,1,2016
10,1284,4,11,0,1,2016
1,1285,5,11,0,1,2016
2,1285,5,11,0,1,2016
3,1285,5,11,0,1,2016
4,1285,5,11,0,1,2016
5,1285,5,11,0,1,2016
6,1285,5,11,0,1,2016
7,1285,5,11,0,1,2016
8,1285,5,11,0,1,2016
9,1285,5,11,0,1,2016
10,1285,5,11,0,1,2016
1,1286,6,11,0,1,2016
2,1286,6,11,0,1,2016
4,1286,6,11,0,1,2016
5,1286,6,11,0,1,2016
6,1286,6,11,0,1,2016
7,1286,6,11,0,1,2016
8,1286,6,11,0,1,2016
9,1286,6,11,0,1,2016
10,1286,6,11,0,1,2016
9,1287,7,11,0,1,2016
1,1288,1,11,0,1,2016
2,1288,1,11,0,1,2016
3,1288,1,11,0,1,2016
4,1288,1,11,0,1,2016
5,1288,1,11,0,1,2016
6,1288,1,11,0,1,2016
7,1288,1,11,0,1,2016
8,1288,1,11,0,1,2016
9,1288,1,11,0,1,2016
10,1288,1,11,0,1,2016
1,1289,2,11,0,1,2016
2,1289,2,11,0,1,2016
