date,day_of_week,brand,cnt,workday,tiaoxiu,month,year
1,2,1,31,0,0,1,2013
1,2,6,6,0,0,1,2013
1,2,9,15,0,0,1,2013
2,3,4,20,0,0,1,2013
2,3,6,6,0,0,1,2013
2,3,7,30,0,0,1,2013
2,3,10,48,0,0,1,2013
3,4,4,16,0,0,1,2013
3,4,6,4,0,0,1,2013
3,4,8,23,0,0,1,2013
4,5,1,898,1,0,1,2013
4,5,2,796,1,0,1,2013
4,5,3,418,1,0,1,2013
4,5,4,1411,1,0,1,2013
4,5,6,299,1,0,1,2013
4,5,7,257,1,0,1,2013
4,5,8,76,1,0,1,2013
4,5,9,1314,1,0,1,2013
4,5,10,1565,1,0,1,2013
5,6,1,842,1,1,1,2013
5,6,2,763,1,1,1,2013
5,6,3,229,1,1,1,2013
5,6,4,1176,1,1,1,2013
5,6,6,244,1,1,1,2013
5,6,7,354,1,1,1,2013
5,6,8,63,1,1,1,2013
5,6,9,829,1,1,1,2013
5,6,10,1107,1,1,1,2013
6,7,1,649,1,1,1,2013
6,7,2,259,1,1,1,2013
6,7,3,198,1,1,1,2013
6,7,4,812,1,1,1,2013
6,7,6,134,1,1,1,2013
6,7,7,167,1,1,1,2013
6,7,8,55,1,1,1,2013
6,7,9,412,1,1,1,2013
6,7,10,647,1,1,1,2013
7,1,1,574,1,0,1,2013
7,1,2,371,1,0,1,2013
7,1,3,340,1,0,1,2013
7,1,4,889,1,0,1,2013
7,1,6,157,1,0,1,2013
7,1,7,232,1,0,1,2013
7,1,8,127,1,0,1,2013
7,1,9,381,1,0,1,2013
7,1,10,638,1,0,1,2013
8,2,1,842,1,0,1,2013
8,2,2,597,1,0,1,2013
8,2,3,294,1,0,1,2013
8,2,4,893,1,0,1,2013
8,2,6,202,1,0,1,2013
8,2,7,386,1,0,1,2013
8,2,8,190,1,0,1,2013
8,2,9,399,1,0,1,2013
8,2,10,695,1,0,1,2013
9,3,1,640,1,0,1,2013
9,3,2,557,1,0,1,2013
9,3,3,488,1,0,1,2013
9,3,4,569,1,0,1,2013
9,3,6,161,1,0,1,2013
9,3,7,270,1,0,1,2013
9,3,8,59,1,0,1,2013
9,3,9,544,1,0,1,2013
9,3,10,673,1,0,1,2013
10,4,1,389,1,0,1,2013
10,4,2,389,1,0,1,2013
10,4,3,335,1,0,1,2013
10,4,4,623,1,0,1,2013
10,4,6,139,1,0,1,2013
10,4,7,165,1,0,1,2013
10,4,8,70,1,0,1,2013
10,4,9,439,1,0,1,2013
10,4,10,585,1,0,1,2013
11,5,1,274,1,0,1,2013
11,5,2,504,1,0,1,2013
11,5,3,235,1,0,1,2013
11,5,4,470,1,0,1,2013
11,5,6,143,1,0,1,2013
11,5,7,154,1,0,1,2013
11,5,8,76,1,0,1,2013
11,5,9,344,1,0,1,2013
11,5,10,741,1,0,1,2013
12,6,1,94,1,0,1,2013
12,6,4,87,1,0,1,2013
12,6,6,12,1,0,1,2013
12,6,7,64,1,0,1,2013
12,6,8,32,1,0,1,2013
12,6,9,31,1,0,1,2013
12,6,10,129,1,0,1,2013
13,7,1,27,1,0,1,2013
13,7,3,28,1,0,1,2013
13,7,9,13,1,0,1,2013
14,1,1,449,1,0,1,2013
14,1,2,212,1,0,1,2013
14,1,3,366,1,0,1,2013
14,1,4,575,1,0,1,2013
14,1,6,185,1,0,1,2013
14,1,7,257,1,0,1,2013
14,1,8,51,1,0,1,2013
14,1,9,430,1,0,1,2013
14,1,10,721,1,0,1,2013
15,2,1,811,1,0,1,2013
15,2,2,597,1,0,1,2013
15,2,3,294,1,0,1,2013
15,2,4,544,1,0,1,2013
15,2,6,154,1,0,1,2013
15,2,7,161,1,0,1,2013
15,2,8,32,1,0,1,2013
15,2,9,445,1,0,1,2013
15,2,10,669,1,0,1,2013
16,3,1,611,1,0,1,2013
16,3,2,371,1,0,1,2013
16,3,3,305,1,0,1,2013
16,3,4,305,1,0,1,2013
16,3,6,194,1,0,1,2013
16,3,7,240,1,0,1,2013
16,3,9,401,1,0,1,2013
16,3,10,456,1,0,1,2013
17,4,1,663,1,0,1,2013
17,4,2,1094,1,0,1,2013
17,4,3,575,1,0,1,2013
17,4,4,735,1,0,1,2013
17,4,6,588,1,0,1,2013
17,4,7,802,1,0,1,2013
17,4,8,116,1,0,1,2013
17,4,9,1002,1,0,1,2013
17,4,10,1680,1,0,1,2013
18,5,1,424,1,0,1,2013
18,5,2,371,1,0,1,2013
18,5,3,366,1,0,1,2013
18,5,4,627,1,0,1,2013
18,5,6,204,1,0,1,2013
18,5,7,206,1,0,1,2013
18,5,8,76,1,0,1,2013
18,5,9,405,1,0,1,2013
18,5,10,680,1,0,1,2013
19,6,1,94,1,0,1,2013
19,6,3,196,1,0,1,2013
19,6,4,65,1,0,1,2013
19,6,6,18,1,0,1,2013
19,6,7,32,1,0,1,2013
19,6,9,46,1,0,1,2013
19,6,10,26,1,0,1,2013
20,7,1,27,1,0,1,2013
20,7,6,5,1,0,1,2013
20,7,7,28,1,0,1,2013
20,7,9,40,1,0,1,2013
20,7,10,22,1,0,1,2013
21,1,1,299,1,0,1,2013
21,1,2,318,1,0,1,2013
21,1,3,235,1,0,1,2013
21,1,4,819,1,0,1,2013
21,1,6,185,1,0,1,2013
21,1,7,129,1,0,1,2013
21,1,8,76,1,0,1,2013
21,1,9,552,1,0,1,2013
21,1,10,1071,1,0,1,2013
22,2,1,686,1,0,1,2013
22,2,2,166,1,0,1,2013
22,2,3,98,1,0,1,2013
22,2,4,610,1,0,1,2013
22,2,6,166,1,0,1,2013
22,2,7,322,1,0,1,2013
22,2,8,63,1,0,1,2013
22,2,9,583,1,0,1,2013
22,2,10,618,1,0,1,2013
23,3,1,582,1,0,1,2013
23,3,2,124,1,0,1,2013
23,3,3,305,1,0,1,2013
23,3,4,447,1,0,1,2013
23,3,6,122,1,0,1,2013
23,3,7,120,1,0,1,2013
23,3,8,30,1,0,1,2013
23,3,9,387,1,0,1,2013
23,3,10,865,1,0,1,2013
24,4,1,320,1,0,1,2013
24,4,2,97,1,0,1,2013
24,4,3,192,1,0,1,2013
24,4,4,447,1,0,1,2013
24,4,6,135,1,0,1,2013
24,4,7,212,1,0,1,2013
24,4,8,46,1,0,1,2013
24,4,9,315,1,0,1,2013
24,4,10,491,1,0,1,2013
25,5,1,374,1,0,1,2013
25,5,2,345,1,0,1,2013
25,5,3,209,1,0,1,2013
25,5,4,192,1,0,1,2013
25,5,6,166,1,0,1,2013
25,5,7,180,1,0,1,2013
25,5,9,368,1,0,1,2013
25,5,10,329,1,0,1,2013
26,6,1,62,1,0,1,2013
26,6,4,22,1,0,1,2013
26,6,6,6,1,0,1,2013
26,6,7,32,1,0,1,2013
26,6,9,46,1,0,1,2013
26,6,10,51,1,0,1,2013
27,7,1,27,1,0,1,2013
28,1,1,424,1,0,1,2013
28,1,2,239,1,0,1,2013
28,1,3,470,1,0,1,2013
28,1,4,767,1,0,1,2013
28,1,6,147,1,0,1,2013
28,1,7,206,1,0,1,2013
28,1,8,25,1,0,1,2013
28,1,9,503,1,0,1,2013
28,1,10,968,1,0,1,2013
29,2,1,780,1,0,1,2013
29,2,2,365,1,0,1,2013
29,2,3,261,1,0,1,2013
29,2,4,697,1,0,1,2013
29,2,6,196,1,0,1,2013
29,2,7,257,1,0,1,2013
29,2,8,63,1,0,1,2013
29,2,9,552,1,0,1,2013
29,2,10,618,1,0,1,2013
30,3,1,524,1,0,1,2013
30,3,2,526,1,0,1,2013
30,3,3,366,1,0,1,2013
30,3,4,508,1,0,1,2013
30,3,6,188,1,0,1,2013
30,3,7,270,1,0,1,2013
30,3,8,89,1,0,1,2013
30,3,9,544,1,0,1,2013
30,3,10,601,1,0,1,2013
31,4,1,343,1,0,1,2013
31,4,2,340,1,0,1,2013
31,4,3,264,1,0,1,2013
31,4,4,224,1,0,1,2013
31,4,6,148,1,0,1,2013
31,4,7,212,1,0,1,2013
31,4,9,439,1,0,1,2013
31,4,10,604,1,0,1,2013
32,5,1,524,1,0,2,2013
32,5,2,345,1,0,2,2013
32,5,3,366,1,0,2,2013
32,5,4,523,1,0,2,2013
32,5,6,185,1,0,2,2013
32,5,7,232,1,0,2,2013
32,5,8,51,1,0,2,2013
32,5,9,466,1,0,2,2013
32,5,10,515,1,0,2,2013
33,6,1,62,1,0,2,2013
33,6,2,33,1,0,2,2013
33,6,4,44,1,0,2,2013
33,6,6,6,1,0,2,2013
33,6,7,32,1,0,2,2013
33,6,8,32,1,0,2,2013
33,6,9,92,1,0,2,2013
33,6,10,51,1,0,2,2013
